length_url,length_hostname,nb_dots,nb_hyphens,nb_slash,nb_qm,nb_and,nb_at,nb_eq,ratio_digits_url,ratio_digits_host,nb_subdomains,has_ip,tld_in_subdomain,entropy_hostname,path_len,query_len,label
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
36,29,1,6,2,0,0,0,0,0.1111111111111111,0.13793103448275862,0,0,0,3.7714370294611266,0,0,0
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.125,0,0,0
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.0269868333592873,0,0,0
50,5,1,0,3,1,0,0,0,0.22,0.0,0,0,0,2.321928094887362,12,25,1
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
15,8,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.75,0,0,0
77,20,2,0,7,0,0,0,0,0.012987012987012988,0.0,1,0,0,3.6841837197791887,50,0,1
36,20,2,0,4,0,2,0,0,0.0,0.0,1,0,0,3.384183719779189,9,0,1
26,19,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.4713544870139286,0,0,0
23,16,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.625,0,0,0
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.7321588913645702,0,0,0
21,14,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.3787834934861767,0,0,0
201,13,2,0,7,1,10,0,11,0.03482587064676617,0.0,1,0,0,2.873140679513133,4,175,1
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.2776134368191165,0,0,0
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.039148671903071,0,0,0
41,33,1,3,3,0,0,0,0,0.0,0.0,0,0,0,3.9603202553942918,1,0,1
19,12,1,0,2,0,0,0,0,0.15789473684210525,0.25,0,0,0,3.418295834054489,0,0,0
55,45,3,0,3,0,0,0,0,0.2545454545454545,0.26666666666666666,2,0,0,4.580307540581811,3,0,1
15,8,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.75,0,0,0
109,23,1,0,5,0,0,0,0,0.045871559633027525,0.0,0,0,0,3.725104217943958,78,0,1
19,12,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.418295834054489,0,0,0
24,17,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.337175341123077,0,0,0
18,11,2,0,2,0,0,0,0,0.0,0.0,1,0,0,2.9139770731827523,0,0,0
56,16,2,0,5,0,0,0,0,0.375,0.0,1,0,0,3.202819531114783,32,0,1
16,9,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.94770277922009,0,0,0
23,16,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.625,0,0,0
28,21,2,0,2,0,0,0,0,0.0,0.0,1,0,0,3.820888851350188,0,0,0
21,14,1,0,2,0,0,0,0,0.047619047619047616,0.07142857142857142,0,0,0,3.8073549220576055,0,0,1
171,12,1,0,9,1,0,0,0,0.0,0.0,0,0,0,3.2516291673878226,101,50,1
234,38,4,0,6,1,3,0,5,0.27350427350427353,0.05263157894736842,3,0,0,3.9579393553211144,1,186,1
16,9,1,0,2,0,0,0,0,0.1875,0.3333333333333333,0,0,0,2.94770277922009,0,0,0
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.3248629576173574,0,0,0
34,26,2,0,3,0,0,0,0,0.0,0.0,1,0,0,3.613337314045307,1,0,1
37,18,1,0,3,0,0,0,0,0.2972972972972973,0.0,0,0,0,3.7254805569978675,12,0,1
16,9,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.94770277922009,0,0,0
30,13,1,0,4,0,0,0,0,0.0,0.0,0,0,0,3.3927474104487847,10,0,1
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.8365916681089787,0,0,0
49,16,2,0,5,0,0,0,0,0.10204081632653061,0.0,1,0,0,3.202819531114783,25,0,1
44,20,1,0,6,0,0,0,0,0.0,0.0,0,0,0,3.308694969562842,17,0,1
34,9,2,0,4,0,0,0,0,0.0,0.0,1,0,0,2.5032583347756456,18,0,1
15,8,1,0,2,0,0,0,0,0.06666666666666667,0.125,0,0,0,2.75,0,0,0
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.121928094887362,0,0,0
20,13,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
29,22,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.845350936622435,0,0,0
210,16,2,0,5,1,2,0,3,0.38095238095238093,0.0,1,0,0,3.327819531114783,29,157,1
43,35,2,0,3,0,0,0,0,0.06976744186046512,0.08571428571428572,1,0,0,4.093149802473811,1,0,1
34,13,1,0,4,0,0,0,0,0.058823529411764705,0.15384615384615385,0,0,0,3.3927474104487847,14,0,1
18,11,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.2776134368191165,0,0,0
21,14,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.2359263506290334,0,0,0
28,21,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.8801799226757376,0,0,0
69,13,2,0,6,1,0,1,1,0.0,0.0,1,0,0,3.0269868333592873,29,19,1
63,22,2,0,5,0,0,0,2,0.06349206349206349,0.0,1,0,0,3.5160276412662297,34,0,1
51,18,2,0,7,0,0,0,0,0.0,0.0,1,0,0,3.461320140211008,26,0,1
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
25,18,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.8365916681089787,0,0,0
17,10,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.921928094887362,0,0,0
48,18,2,0,5,0,0,0,0,0.0,0.0,1,0,0,3.4613201402110083,23,0,1
29,11,1,0,4,0,0,0,0,0.0,0.0,0,0,0,3.277613436819116,11,0,1
29,22,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.6412498004554785,0,0,1
14,7,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.5216406363433186,0,0,0
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.0269868333592873,0,0,0
22,15,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.5068905956085183,0,0,0
61,39,3,3,3,0,0,0,0,0.03278688524590164,0.05128205128205128,2,0,0,4.038499898783,14,0,1
25,18,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.266332639970623,0,0,0
16,9,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.94770277922009,0,0,0
26,19,1,1,2,0,0,0,0,0.0,0.0,0,0,0,4.03740119765411,0,0,0
46,18,1,0,5,0,0,0,0,0.0,0.0,0,0,0,3.1279868068776753,21,0,1
51,24,2,0,4,0,0,0,0,0.0,0.0,1,0,0,3.522055208874201,20,0,1
111,16,1,0,7,0,0,0,0,0.18018018018018017,0.0,0,0,0,3.452819531114783,88,0,1
27,20,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.4841837197791885,0,0,0
116,13,2,0,11,1,0,1,1,0.008620689655172414,0.0,1,0,0,3.180832987205441,61,33,1
18,11,2,0,2,0,0,0,0,0.0,0.0,1,0,0,2.9139770731827523,0,0,1
64,39,5,3,6,0,0,0,0,0.015625,0.02564102564102564,4,0,0,4.038499898783,18,0,1
37,18,2,0,4,0,0,0,0,0.0,0.0,1,0,0,3.6835423624332306,12,0,1
16,9,1,0,2,0,0,0,0,0.1875,0.3333333333333333,0,0,0,2.94770277922009,0,0,0
32,9,1,0,4,0,0,0,0,0.0,0.0,0,0,0,3.169925001442312,16,0,1
92,43,2,0,4,1,0,1,1,0.05434782608695652,0.11627906976744186,1,0,0,3.9873274760758832,17,24,1
46,12,1,0,6,0,0,0,0,0.0,0.0,0,0,0,3.0849625007211556,27,0,1
23,16,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.452819531114783,0,0,0
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.845350936622437,0,0,0
15,8,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.0,0,0,0
20,13,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.0850551027564768,0,0,0
26,19,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.7871439606981387,0,0,0
52,33,1,1,3,0,0,0,0,0.07692307692307693,0.12121212121212122,0,0,0,4.017900089633386,12,0,1
32,25,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.4830741894285686,0,0,0
31,14,2,0,4,0,0,0,0,0.0,0.0,1,0,0,3.378783493486176,9,0,1
16,9,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.5032583347756456,0,0,0
31,23,1,0,3,0,0,0,0,0.0,0.0,0,0,0,3.7950885863977324,1,0,1
17,6,1,0,3,0,0,0,0,0.058823529411764705,0.0,0,0,0,2.584962500721156,4,0,1
54,20,3,0,4,0,0,0,0,0.0,0.0,2,0,0,3.4086949695628417,27,0,1
21,14,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.521640636343319,0,0,0
14,7,1,0,2,0,0,0,0,0.0,0.0,0,0,0,2.5216406363433186,0,0,0
26,19,1,1,2,0,0,0,0,0.0,0.0,0,0,0,3.681880802803402,0,0,0
20,13,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.238901256602631,0,0,0
34,27,1,2,2,0,0,0,0,0.0,0.0,0,0,0,3.8561962982193805,0,0,0
26,15,3,0,3,0,0,0,0,0.46153846153846156,0.8,2,1,0,2.606238928653389,4,0,1
27,20,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.6086949695628423,0,0,0
46,26,2,0,5,0,0,0,0,0.34782608695652173,0.3076923076923077,1,0,0,3.902174814211728,13,0,1
30,23,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.708132064658602,0,0,0
38,15,2,0,4,0,0,0,0,0.3684210526315789,0.0,1,0,0,3.4565647621309536,16,0,1
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.027169118440619,0,0,0
66,18,1,0,6,0,0,0,0,0.2878787878787879,0.0,0,0,0,3.6143694458867563,41,0,1
18,11,1,0,2,0,0,0,0,0.0,0.0,0,0,0,3.2776134368191165,0,0,0
23,16,1,0,2,0,0,0,0,0.17391304347826086,0.25,0,0,0,3.202819531114783,0,0,0
